intervention,phase,ct_id,pmid
intervention3,phase 3,nct01041404,24951609
intervention3,phase 3,nct01041404,22116464
intervention3,phase 3,nct03830866,32447296
intervention3,phase 3,nct03830866,31867430
intervention3,phase 3,nct01704716,30442501
intervention3,phase 3,nct01704716,28259608
intervention3,phase 3,nct01704716,32639845
intervention3,phase 3,nct01704716,24590653
intervention3,phase 3,nct02314117,30718072
intervention3,phase 3,nct02582697,30157803
intervention3,phase 3,nct03332069,32180481
intervention3,phase 3,nct03332069,31216321
intervention3,phase 3,nct03332069,32266151
intervention3,phase 3,nct01593306,26904570
intervention3,phase 3,nct02807636,32416780
intervention3,phase 3,nct02807636,27939400
intervention3,phase 3,nct02409342,32997907
intervention3,phase 3,nct00949650,27601237
intervention3,phase 3,nct00949650,26094656
intervention3,phase 3,nct00949650,26051236
intervention3,phase 3,nct00949650,25589191
intervention3,phase 3,nct00949650,29653820
intervention3,phase 3,nct00949650,26823294
intervention3,phase 3,nct00949650,23816967
intervention3,phase 3,nct00949650,23816960
intervention3,phase 3,nct00025259,33512412
intervention3,phase 3,nct00025259,29296710
intervention3,phase 3,nct00025259,25311218
intervention3,phase 3,nct01540136,29501366
intervention3,phase 3,nct00789373,22341744
intervention3,phase 3,nct00789373,20211022
intervention3,phase 3,nct00789373,29424248
intervention3,phase 3,nct00789373,24419418
intervention3,phase 3,nct00789373,23059776
intervention3,phase 3,nct00789373,25104617
intervention3,phase 3,nct00789373,23835707
intervention3,phase 3,nct00789373,23328269
intervention3,phase 3,nct03673072,32059704
intervention3,phase 3,nct01774786,31234927
intervention3,phase 3,nct01774786,31183514
intervention3,phase 3,nct01774786,30217672
intervention3,phase 3,nct01774786,31620931
intervention3,phase 3,nct02305654,29184781
intervention3,phase 3,nct03950674,32914866
intervention3,phase 3,nct00324805,29129443
intervention3,phase 3,nct03043872,33285097
intervention3,phase 3,nct03043872,31590988
intervention3,phase 3,nct03043872,33826027
intervention3,phase 3,nct02667743,33130217
intervention3,phase 3,nct00678535,32380454
intervention3,phase 3,nct00678535,30897976
intervention3,phase 3,nct00678535,31195354
intervention3,phase 3,nct03829319,33300372
intervention3,phase 3,nct01656551,30028656
intervention3,phase 3,nct02466971,31681600
intervention3,phase 3,nct02466971,29868473
intervention3,phase 3,nct02466971,29692980
intervention3,phase 3,nct00094497,22551107
intervention3,phase 3,nct03773302,32580579
intervention3,phase 3,nct02516241,32971005
intervention3,phase 3,nct03066778,32468956
intervention3,phase 3,nct04163900,32374623
intervention3,phase 3,nct01828099,28126333
intervention3,phase 3,nct01828099,27130468
intervention3,phase 3,nct03924856,34008425
intervention3,phase 3,nct00063999,33078978
intervention3,phase 3,nct02563054,29372626
intervention3,phase 3,nct03221426,30777447
intervention3,phase 3,nct00191100,21444871
intervention3,phase 3,nct00548548,24942210
intervention3,phase 3,nct00548548,21844504
intervention3,phase 3,nct03189719,30735435
intervention3,phase 3,nct03675737,33975465
intervention3,phase 3,nct03040999,32490686
intervention3,phase 3,nct02578680,33730652
intervention3,phase 3,nct02578680,32150489
intervention3,phase 3,nct02578680,32035514
intervention3,phase 3,nct02578680,29658856
intervention3,phase 3,nct02578680,33894335
intervention3,phase 3,nct02578680,32914866
intervention3,phase 3,nct02041533,28636851
intervention3,phase 3,nct03215706,33476593
intervention3,phase 3,nct00686959,31125266
intervention3,phase 3,nct00686959,29976505
intervention3,phase 3,nct02142738,33872070
intervention3,phase 3,nct02142738,32926507
intervention3,phase 3,nct02142738,32305010
intervention3,phase 3,nct02142738,31880807
intervention3,phase 3,nct02142738,31395089
intervention3,phase 3,nct02142738,27718847
intervention3,phase 3,nct02142738,29129441
intervention3,phase 3,nct02142738,31446994
intervention3,phase 3,nct00951496,31002578
intervention3,phase 3,nct01450761,27458307
intervention3,phase 3,nct00677118,28235726
intervention3,phase 3,nct00677118,22154591
intervention3,phase 3,nct00942357,31189035
intervention3,phase 3,nct02595554,32522771
intervention3,phase 3,nct02162537,33948123
intervention3,phase 3,nct01177956,24710768
intervention3,phase 3,nct02215265,26311526
intervention3,phase 3,nct02477826,33485960
intervention3,phase 3,nct02477826,31562796
intervention3,phase 3,nct02477826,31195357
intervention3,phase 3,nct02477826,29658845
intervention3,phase 3,nct02477826,32674209
intervention3,phase 3,nct02477826,30393621
intervention3,phase 3,nct01038661,33708965
intervention3,phase 3,nct01017874,26511807
intervention3,phase 3,nct01017874,26725183
intervention3,phase 3,nct01017874,24953333
intervention3,phase 3,nct01687413,25057165
intervention3,phase 3,nct00588770,31618129
intervention3,phase 3,nct02633176,32637360
intervention3,phase 3,nct00085735,34110925
intervention3,phase 3,nct01697072,28958504
intervention3,phase 3,nct01697072,25712685
intervention3,phase 3,nct03707509,34174189
intervention3,phase 3,nct00980460,30975630
intervention3,phase 1,nct01554410,32334034
intervention3,phase 1,nct02402920,31605794
intervention3,phase 1,nct03641547,32571298
intervention3,phase 1,nct01711515,32816895
intervention3,phase 1,nct01296763,28454122
intervention3,phase 1,nct00678132,22248721
intervention3,phase 1,nct01454102,27932067
intervention3,phase 1,nct01454102,27354485
intervention3,phase 1,nct01454102,27354481
intervention3,phase 1,nct02113878,33004905
intervention3,phase 1,nct01192165,27876675
intervention3,phase 1,nct03738228,31871115
intervention3,phase 1,nct00254384,29217088
intervention3,phase 1,nct02784795,33686452
intervention3,phase 1,nct00678977,23064954
intervention3,phase 1,nct01655225,33660194
intervention3,phase 1,nct01911598,31540980
intervention3,phase 1,nct01284335,25260842
intervention3,phase 1,nct02586207,32479189
intervention3,phase 1,nct03028766,32184305
intervention3,phase 1,nct01285037,30833489
intervention3,phase 1,nct01285037,23275061
intervention3,phase 1,nct02715531,32502443
intervention3,phase 1,nct00553696,23665950
intervention3,phase 1,nct02157792,33145616
intervention3,phase 1,nct02157792,34040175
intervention3,phase 1,nct02157792,34040174
intervention3,phase 1,nct02157792,31299005
intervention3,phase 1,nct00926640,29951694
intervention3,phase 1,nct03421353,30661177
intervention3,phase 1,nct01846390,30301414
intervention3,phase 1,nct00989651,33610319
intervention3,phase 1,nct00989651,31708167
intervention3,phase 1,nct01281852,27998970
intervention3,phase 1,nct01933568,31431387
intervention3,phase 1,nct02555644,32371584
intervention3,phase 1,nct02555644,28138028
intervention3,phase 1,nct01737008,25937431
intervention3,phase 1,nct02351765,33210382
intervention3,phase 1/phase 2,nct01139775,28625637
intervention3,phase 1/phase 2,nct01139775,24942404
intervention3,phase 1/phase 2,nct01240590,27240885
intervention3,phase 1/phase 2,nct01982955,32479794
intervention3,phase 1/phase 2,nct00453154,25732163
intervention3,phase 1/phase 2,nct01763788,30797492
intervention3,phase 1/phase 2,nct01893801,31580386
intervention3,phase 1/phase 2,nct03850067,33034194
intervention3,phase 1/phase 2,nct00719550,24965569
intervention3,phase 1/phase 2,nct02095119,25802932
intervention3,phase 1/phase 2,nct01064648,31386610
intervention3,phase 1/phase 2,nct01642251,32860331
intervention3,phase 2/phase 3,nct01907100,31103412
intervention3,phase 2/phase 3,nct02250872,26021829
intervention3,phase 2/phase 3,nct04066491,32461347
intervention3,phase 2/phase 3,nct02867865,31253621
intervention3,phase 2/phase 3,nct02221999,30976202
intervention3,phase 2/phase 3,nct02221999,33154826
intervention3,phase 2/phase 3,nct02221999,31488093
intervention3,phase 2/phase 3,nct01249352,29179134
intervention3,phase 2/phase 3,nct01216644,31639132
intervention3,phase 2/phase 3,nct01216644,30982686
intervention3,phase 2/phase 3,nct01216644,27776843
intervention3,phase 2/phase 3,nct01216644,23592699
intervention3,early phase 1,nct00140556,22253412
intervention3,early phase 1,nct00140556,21985945
intervention4,phase 2,nct00369681,22343727
intervention4,phase 2,nct01678664,31678771
intervention4,phase 2,nct01719835,29703335
intervention4,phase 2,nct01220128,28176175
intervention4,phase 2,nct01424982,30501869
intervention4,phase 2,nct01424982,26432046
intervention4,phase 2,nct00390793,20466853
intervention4,phase 2,nct00092222,25331113
intervention4,phase 2,nct00092222,24174627
intervention4,phase 2,nct00450801,33735476
intervention4,phase 2,nct02448537,31896519
intervention4,phase 2,nct00211185,23278639
intervention4,phase 2,nct02132949,29253081
intervention4,phase 2,nct00667342,24637635
intervention4,phase 2,nct01569204,29133014
intervention4,phase 2,nct00494780,22409295
intervention4,phase 2,nct01040871,26232170
intervention4,phase 2,nct02427620,29785709
intervention4,phase 2,nct01840592,32841541
intervention4,phase 2,nct02698891,32330102
intervention4,phase 2,nct00446030,24860718
intervention4,phase 2,nct01008150,31796073
intervention4,phase 2,nct01008150,24077916
intervention4,phase 2,nct01205503,25909710
intervention4,phase 2,nct00956930,27575820
intervention4,phase 2,nct01856192,29531316
intervention4,phase 2,nct00878254,33735476
intervention4,phase 2,nct02181738,32778827
intervention4,phase 2,nct02181738,27451390
intervention4,phase 2,nct02181738,31112476
intervention4,phase 2,nct02181738,29584546
intervention4,phase 2,nct02181738,29394125
intervention4,phase 2,nct00973752,27171984
intervention4,phase 2,nct00483509,30076277
intervention4,phase 2,nct02177695,33568346
intervention4,phase 2,nct00455533,27312051
intervention4,phase 2,nct01861951,27387325
intervention4,phase 2,nct01861951,32840417
intervention4,phase 2,nct00038610,25682595
intervention4,phase 2,nct01705691,26126970
intervention4,phase 2,nct02131480,25795402
intervention4,phase 2,nct03248427,31838010
intervention4,phase 2,nct01670500,32097092
intervention4,phase 2,nct00808639,24821883
intervention4,phase 3,nct00093795,23940225
intervention4,phase 3,nct00789581,28508185
intervention4,phase 3,nct01275677,31821109
intervention4,phase 3,nct00135499,27282998
intervention4,phase 3,nct00135499,26373676
intervention4,phase 3,nct00021255,21991949
intervention4,phase 3,nct00021255,27573653
intervention4,phase 3,nct01148446,29975624
intervention4,phase 3,nct01148446,21895543
intervention4,phase 3,nct00003389,23386127
intervention4,phase 3,nct00003389,25897153
intervention4,phase 3,nct00003389,23356491
intervention4,phase 3,nct00003389,23182987
intervention4,phase 3,nct00314977,28674765
intervention4,phase 3,nct00314977,26650831
intervention4,phase 3,nct00083551,27581518
intervention4,phase 3,nct00083551,22689675
intervention4,phase 3,nct00083551,16525139
intervention4,phase 3,nct00121992,21121833
intervention4,phase 3,nct00209209,31804876
intervention4,phase 3,nct00209209,22873532
intervention4,phase 3,nct00209209,20032498
intervention4,phase 3,nct00209209,24687837
intervention4,phase 3,nct02661503,29133014
intervention4,phase 3,nct01200758,28476440
intervention4,phase 3,nct01200758,24521993
intervention4,phase 3,nct01200758,27362533
intervention4,phase 3,nct01200758,32815559
intervention4,phase 3,nct01200758,24265828
intervention4,phase 3,nct01200758,24002601
intervention4,phase 3,nct01358877,28581356
intervention4,phase 3,nct01358877,33828257
intervention4,phase 3,nct01358877,31305270
intervention4,phase 3,nct01358877,30976844
intervention4,phase 3,nct01358877,31924513
intervention4,phase 3,nct01358877,33619550
intervention4,phase 3,nct01440088,28651927
intervention4,phase 3,nct01440088,25185097
intervention4,phase 3,nct01704716,30442501
intervention4,phase 3,nct01704716,28259608
intervention4,phase 3,nct01704716,32639845
intervention4,phase 3,nct01704716,24590653
intervention4,phase 3,nct01659099,33211799
intervention4,phase 3,nct01659099,33097974
intervention4,phase 3,nct01940497,30396014
intervention4,phase 3,nct00688740,23246022
intervention4,phase 3,nct00094497,22551107
intervention4,phase 3,nct01251107,21774708
intervention4,phase 3,nct01855750,30901302
intervention4,phase 3,nct00471965,25223462
intervention4,phase 3,nct00336791,21422418
intervention4,phase 3,nct03197935,32966830
intervention4,phase 3,nct03197935,32450725
intervention4,phase 3,nct00796120,24512981
intervention4,phase 3,nct00883116,25925990
intervention4,phase 3,nct01287741,33054054
intervention4,phase 3,nct01287741,33651099
intervention4,phase 3,nct01287741,32505213
intervention4,phase 3,nct01287741,30770362
intervention4,phase 3,nct01287741,30341058
intervention4,phase 3,nct01287741,31053601
intervention4,phase 3,nct01287741,30617197
intervention4,phase 3,nct01287741,32298429
intervention4,phase 3,nct03493854,33357420
intervention4,phase 3,nct03493854,34106303
intervention4,phase 3,nct03036488,32101663
intervention4,phase 3,nct03036488,32450725
intervention4,phase 3,nct01332968,28976863
intervention4,phase 3,nct01332968,32314038
intervention4,phase 3,nct01332968,31053601
intervention4,phase 3,nct01332968,29856692
intervention4,phase 3,nct01332968,30341058
intervention4,phase 3,nct01332968,30309758
intervention4,phase 3,nct01332968,32815559
intervention4,phase 3,nct01332968,32298429
intervention4,phase 3,nct01332968,31961926
intervention4,phase 3,nct00209222,27313086
intervention4,phase 3,nct00209222,26022239
intervention4,phase 3,nct00209222,20032498
intervention4,phase 3,nct00209222,24687837
intervention4,phase 3,nct02451943,33632930
intervention4,phase 3,nct02451943,32259228
intervention4,phase 3,nct02451943,28447475
intervention4,phase 3,nct02451943,29497315
intervention4,phase 3,nct02451943,31331295
intervention4,phase 3,nct02451943,27995580
intervention4,phase 3,nct02032277,33599688
intervention4,phase 3,nct02032277,29501363
intervention4,phase 3,nct02032277,31913413
intervention4,phase 3,nct02032277,31606288
intervention4,phase 3,nct04043494,33152759
intervention4,phase 1,nct01375699,30221011
intervention4,phase 1,nct01970540,33704620
intervention4,phase 1,nct00825149,28011903
intervention4,phase 1,nct00825149,23843495
intervention4,phase 1,nct00825149,31050355
intervention4,phase 1,nct00825149,26659915
intervention4,phase 1,nct02783599,28838379
intervention4,phase 1,nct02419495,33909232
intervention4,phase 1,nct01851733,26910903
intervention4,phase 1,nct01186328,24276047
intervention4,phase 1,nct02677116,28838379
intervention4,phase 1/phase 2,nct02979522,32596842
intervention4,phase 1/phase 2,nct01622439,29903707
intervention4,phase 1/phase 2,nct02261805,29594044
intervention4,phase 1/phase 2,nct02889523,32122924
intervention4,phase 1/phase 2,nct01992653,31101489
intervention4,phase 1/phase 2,nct01992653,32770353
intervention4,phase 1/phase 2,nct01992653,32222808
intervention4,phase 1/phase 2,nct00440726,22653976
intervention4,phase 1/phase 2,nct00440726,20582937
intervention4,phase 1/phase 2,nct03101748,29748602
intervention4,phase 1/phase 2,nct02055820,33538797
intervention4,phase 1/phase 2,nct02055820,30850381
intervention4,early phase 1,nct00510367,25547133
intervention4,phase 2/phase 3,nct02180867,32702309
intervention5,phase 2,nct01527149,25964296
intervention5,phase 2,nct01424982,30501869
intervention5,phase 2,nct01424982,26432046
intervention5,phase 2,nct00792948,29618479
intervention5,phase 2,nct00390793,20466853
intervention5,phase 2,nct00450801,33735476
intervention5,phase 2,nct00283985,21123825
intervention5,phase 2,nct00667342,24637635
intervention5,phase 2,nct01920737,33054114
intervention5,phase 2,nct01572662,30389035
intervention5,phase 2,nct02299999,32067679
intervention5,phase 2,nct03779854,33049057
intervention5,phase 2,nct01790568,28784598
intervention5,phase 2,nct02427620,29785709
intervention5,phase 2,nct00133991,22835045
intervention5,phase 2,nct02373579,26421385
intervention5,phase 2,nct00290433,26260306
intervention5,phase 2,nct02825147,33634350
intervention5,phase 2,nct02329080,33513372
intervention5,phase 2,nct00878254,33735476
intervention5,phase 2,nct00973752,27171984
intervention5,phase 2,nct01528163,27903924
intervention5,phase 2,nct01338987,29248669
intervention5,phase 2,nct01011920,29054815
intervention5,phase 2,nct01011920,27132696
intervention5,phase 2,nct02177695,33568346
intervention5,phase 2,nct01363128,32589978
intervention5,phase 2,nct00038610,25682595
intervention5,phase 2,nct01168219,31212080
intervention5,phase 2,nct01432145,31813938
intervention5,phase 2,nct01432145,25526776
intervention5,phase 2,nct00335140,29416652
intervention5,phase 2,nct00808639,24821883
intervention5,phase 1,nct00880815,25145344
intervention5,phase 1,nct01186328,24276047
intervention5,phase 3,nct00613457,31601692
intervention5,phase 3,nct00613457,26888258
intervention5,phase 3,nct00613457,26853647
intervention5,phase 3,nct00613457,24415536
intervention5,phase 3,nct00613457,21719599
intervention5,phase 3,nct00613457,20154213
intervention5,phase 3,nct00613457,29148893
intervention5,phase 3,nct02345850,31106295
intervention5,phase 3,nct00134030,27569442
intervention5,phase 3,nct00134030,25421877
intervention5,phase 3,nct00134030,31401903
intervention5,phase 3,nct00468546,22127691
intervention5,phase 3,nct00468546,18512710
intervention5,phase 3,nct00103285,26590194
intervention5,phase 3,nct00103285,29284596
intervention5,phase 3,nct00103285,23678006
intervention5,phase 3,nct02105636,32583557
intervention5,phase 3,nct02105636,30972702
intervention5,phase 3,nct02105636,31422216
intervention5,phase 3,nct02105636,29884413
intervention5,phase 3,nct02105636,28939066
intervention5,phase 3,nct02105636,28651929
intervention5,phase 3,nct02105636,27718784
intervention5,phase 3,nct02105636,30944020
intervention5,phase 3,nct02105636,31246283
intervention5,phase 3,nct02101853,33651090
intervention5,phase 3,nct00022516,27325862
intervention5,phase 3,nct00671034,30626253
intervention5,phase 3,nct02046603,30649524
intervention5,phase 3,nct02046603,31431998
intervention5,phase 3,nct02046603,29244149
intervention5,phase 3,nct02883049,32496902
intervention5,phase 3,nct02883049,30545921
intervention5,phase 3,nct02115204,27022068
intervention5,phase 3,nct02115204,24827128
intervention5,phase 3,nct00557193,32414848
intervention5,phase 3,nct02393859,33651091
intervention5,phase 3,nct00406393,24982504
intervention5,phase 3,nct00408005,32813610
intervention5,phase 3,nct00408005,32552472
intervention5,phase 3,nct00408005,30138085
intervention5,phase 3,nct01578499,33794441
intervention5,phase 3,nct01578499,32502876
intervention5,phase 3,nct01578499,28600132
intervention5,phase 3,nct01578499,32632956
intervention5,phase 3,nct00928018,26729448
intervention5,phase 3,nct00075725,33496745
intervention5,phase 3,nct00075725,26590194
intervention5,phase 3,nct00075725,26265699
intervention5,phase 3,nct00075725,29284596
intervention5,phase 3,nct00075725,24970932
intervention5,phase 3,nct00075725,26124497
intervention5,phase 3,nct01345682,28961833
intervention5,phase 3,nct01345682,27084954
intervention5,phase 3,nct01345682,25892145
intervention5,phase 3,nct01345682,31450171
intervention5,phase 3,nct00361335,28606966
intervention5,phase 3,nct00361335,22089463
intervention5,phase 3,nct00361335,24757132
intervention5,phase 3,nct00361335,22776409
intervention5,phase 3,nct00361335,20131276
intervention5,phase 3,nct01535053,32460997
intervention5,phase 3,nct04043494,33152759
intervention5,phase 1/phase 2,nct01371630,29352703
intervention5,phase 1/phase 2,nct01371630,28859185
intervention5,phase 1/phase 2,nct00440726,22653976
intervention5,phase 1/phase 2,nct00440726,20582937
intervention5,phase 1/phase 2,nct01483690,31969338
intervention5,phase 1/phase 2,nct01483690,23233571
intervention5,phase 1/phase 2,nct00369226,19713456
intervention5,phase 1/phase 2,nct00506922,19654407
intervention5,phase 2/phase 3,nct00720109,29812996
intervention6,phase 2,nct01132807,30049811
intervention6,phase 2,nct03226249,32992341
intervention7,phase 2,nct00402051,23332288
intervention7,phase 2,nct00203931,24386952
intervention7,phase 2,nct00334594,26538423
intervention7,phase 2,nct00334594,31212997
intervention7,phase 2,nct01160744,25377507
intervention7,phase 2,nct02397928,31628016
intervention7,phase 2,nct00409006,22534669
intervention7,phase 2,nct00349089,17488518
intervention7,phase 2,nct01473563,24090033
intervention7,phase 2,nct01878617,33823018
intervention7,phase 2,nct00988858,27350064
intervention7,phase 2,nct00807573,26542025
intervention7,phase 2,nct00807573,23630218
intervention7,phase 2,nct01490437,25429526
intervention7,phase 2,nct03086538,31820199
intervention7,phase 2,nct01088620,26094080
intervention7,phase 2,nct01565538,24481719
intervention7,phase 2,nct00614965,27492015
intervention7,phase 2,nct01172470,21497773
intervention7,phase 2,nct00427466,22763609
intervention7,phase 2,nct01469000,27507876
intervention7,phase 2,nct02489903,33569311
intervention7,phase 2,nct02489903,31231122
intervention7,phase 2,nct02489903,29552569
intervention7,phase 2,nct02489903,27840583
intervention7,phase 2,nct02489903,27403127
intervention7,phase 2,nct02489903,27065848
intervention7,phase 2,nct02489903,27065849
intervention7,phase 2,nct02489903,27855386
intervention7,phase 2,nct02489903,26933421
intervention7,phase 2,nct01057589,23726971
intervention7,phase 2,nct00293579,22434360
intervention7,phase 2,nct03158129,33603241
intervention7,phase 2,nct02117167,26410619
intervention7,phase 3,nct02367781,31122901
intervention7,phase 3,nct02367781,32524512
intervention7,phase 3,nct00948675,25371077
intervention7,phase 3,nct02899299,33485464
intervention7,phase 3,nct02899299,33206991
intervention7,phase 3,nct00982111,25701171
intervention7,phase 3,nct01836575,23775961
intervention7,phase 3,nct02604342,29668860
intervention7,phase 3,nct03088540,33581821
intervention7,phase 3,nct01544179,26159065
intervention7,phase 3,nct04194944,33150799
intervention7,phase 3,nct00095199,24231627
intervention7,phase 3,nct02409342,32997907
intervention7,phase 3,nct00949650,27601237
intervention7,phase 3,nct00949650,26094656
intervention7,phase 3,nct00949650,26051236
intervention7,phase 3,nct00949650,25589191
intervention7,phase 3,nct00949650,29653820
intervention7,phase 3,nct00949650,26823294
intervention7,phase 3,nct00949650,23816967
intervention7,phase 3,nct00949650,23816960
intervention7,phase 3,nct00418886,25881079
intervention7,phase 3,nct00789373,22341744
intervention7,phase 3,nct00789373,20211022
intervention7,phase 3,nct00789373,29424248
intervention7,phase 3,nct00789373,24419418
intervention7,phase 3,nct00789373,23059776
intervention7,phase 3,nct00789373,25104617
intervention7,phase 3,nct00789373,23835707
intervention7,phase 3,nct00789373,23328269
intervention7,phase 3,nct03950674,32914866
intervention7,phase 3,nct03829319,33300372
intervention7,phase 3,nct01656551,30028656
intervention7,phase 3,nct00932893,30652510
intervention7,phase 3,nct00932893,30822515
intervention7,phase 3,nct00932893,28373069
intervention7,phase 3,nct00932893,23724913
intervention7,phase 3,nct00932893,25624436
intervention7,phase 3,nct00932893,27130468
intervention7,phase 3,nct00932893,25436806
intervention7,phase 3,nct00932893,21904575
intervention7,phase 3,nct01828099,28126333
intervention7,phase 3,nct01828099,27130468
intervention7,phase 3,nct00102804,22336221
intervention7,phase 3,nct00102804,19767093
intervention7,phase 3,nct00102804,22266043
intervention7,phase 3,nct00762034,25516338
intervention7,phase 3,nct00762034,25611228
intervention7,phase 3,nct00762034,24145346
intervention7,phase 3,nct00762034,19632943
